Ranking,Nome
182,Universidade Federal do Sul e Sudeste do Pará
183,Universidade Estadual de Ciências da Saúde de Alagoas
184,Universidade Estadual de Roraima
185,Universidade de Rio Verde
186,Universidade Vale do Rio Doce
187,Universidade do Estado do Amapá
188,Universidade Ibirapuera
189,Universidade Municipal de São Caetano do Sul
190,Universidade Estadual de Alagoas
191,Universidade Vale do Rio Verde
192,Universidade Santa Úrsula
193,Universidade do Planalto Catarinense
194,Universidade Iguaçu
195,Universidade da Região da Campanha
196,Universidade Alto Vale do Rio do Peixe
197,Universidade do Tocantins
